CTR,titleWords,adWords,depth,position,advCTR,queryCTR,queryCTRInPos
0.0308,9,17,1,1,0.0227,0.0229,0.0291
0.0023,7,22,2,2,0.0426,0.0883,0.0057
0.051,6,14,1,1,0.0273,0.0534,0.0608
0.1806,14,28,2,1,0.0547,0.1493,0.2011
0.0079,7,25,2,1,0.0242,0.0082,0.0108
0.1561,10,19,2,2,0.0484,0.1024,0.0422
0.021,5,22,2,2,0.0237,0.024,0.0173
0.0695,6,14,1,1,0.0272,0.0494,0.059
0.085,10,23,1,1,0.0425,0.055,0.098
0.0442,16,31,2,2,0.0536,0.129,0.0814
0.0149,7,15,2,1,0.0367,0.0191,0.0208
0.0357,11,26,1,1,0.0563,0.0277,0.0341
0.0691,3,19,1,1,0.0345,0.0014,0
0.096,12,25,2,1,0.0297,0.0358,0.041
0.0092,6,14,2,2,0.0273,0.0268,0.0136
0.0114,10,20,2,2,0.0283,0.0316,0.0125
0.0331,13,26,2,1,0.023,0.0243,0.0401
0.015,10,25,2,2,0.044,0.1594,0.073
0.0065,7,22,2,2,0.0427,0.0221,0.0085
0.017,8,22,2,1,0.054,0.0191,0.0204
0.0148,4,22,1,1,0.016,0.0112,0.0156
0.0125,10,18,2,1,0.0553,0.0172,0.0222
0.089,8,15,1,1,0.0273,0.0715,0.0811
0.0205,6,8,2,1,0.0248,0.0121,0.0124
0.0094,6,18,1,1,0.0134,0.005,0.0056
0.1129,12,20,2,1,0.057,0.0277,0.0563
0.0295,13,24,1,1,0.0452,0.0218,0.0297
0.0831,1,21,2,1,0.154,0.015,0.0166
0.025,6,14,1,1,0.0273,0.0316,0.0384
0.0077,12,20,2,1,0.0299,0.0301,0.0476
0.0019,11,24,2,2,0.0587,0.0227,0.0065
0,6,18,2,1,0.0241,0.0018,0.0021
0.0796,8,21,1,1,0.0426,0.0082,0.0082
0.0222,16,20,2,2,0.0257,0.0306,0.0166
0.1257,7,24,2,1,0.0899,0.0908,0.1282
0.1306,9,24,1,1,0.0802,0.0888,0.1065
0,5,18,2,2,0.0069,0.0151,0.0066
0.0355,6,14,2,1,0.0273,0.0188,0.0297
0.0797,7,20,2,1,0.0211,0.045,0.0545
0.0449,11,22,2,1,0.0189,0.0401,0.042
0.0285,6,22,1,1,0.0427,0.0106,0.0149
0.0345,12,29,1,1,0.0357,0.0416,0.0595
0.0306,12,25,1,1,0.0272,0.002,0.0023
0,13,26,2,2,0.0169,0.0195,0.0047
0.1179,8,26,2,1,0.0425,0.0393,0.0654
0.0276,12,21,2,1,0.008,0.0238,0.0341
0.0684,10,23,1,1,0.0157,0.0371,0.0432
0.0496,7,20,2,2,0.0694,0.0444,0.0273
0.1197,9,21,2,2,0.0397,0.0657,0.0432
0.0971,13,31,2,1,0.0569,0.0222,0.0287
0.0274,8,21,2,2,0.0426,0.0071,0.0055
0.016,8,21,2,2,0.0185,0.0187,0.009
0.1078,10,19,1,1,0.049,0.0518,0.0985
0.007,7,15,3,2,0.1068,0.0739,0.0191
0.009,5,19,1,1,0.0284,0.0449,0.0496
0.0132,7,21,2,1,0.0236,0.0208,0.0245
0.0625,4,18,3,3,0.0362,0.0491,0.0214
0.0163,12,24,2,2,0.0191,0.0319,0.0103
0.0368,9,26,3,3,0.0426,0.1274,0.0913
0.0496,8,16,2,1,0.0284,0.0147,0.0297
0.0789,9,25,2,2,0.0598,0.0884,0.0766
0.0231,12,22,3,1,0.0276,0.0538,0.0805
0.0476,5,11,2,1,0.1909,0.032,0.0545
0.1682,11,28,2,1,0.039,0.041,0.0611
0.011,10,21,2,2,0.0204,0.089,0.0624
0.0183,7,25,2,1,0.0241,0.0111,0.0224
0.0283,6,15,1,1,0.0273,0.0175,0.0194
0.0265,11,23,2,2,0.0494,0.05,0.0299
0.2203,10,27,1,1,0.0694,0,0
0,8,24,3,3,0.0284,0.0311,0.0116
0.0213,9,19,2,2,0.0176,0.1733,0.0461
0.0169,5,15,1,1,0.0285,0.013,0.0272
0.0171,13,21,1,1,0.0222,0.0093,0.01
0.0896,12,15,2,1,0.0484,0.0297,0.041
0.08,7,21,2,1,0.0545,0.1464,0.242
0,7,28,2,2,0.0248,0.1378,0.1225
0.0216,8,30,2,2,0.0574,0.0258,0.0099
0.0128,16,25,2,1,0.005,0.0258,0.0361
0.0814,10,26,2,2,0.0426,0.1174,0.087
0.0118,10,19,1,1,0.029,0,0
0.0112,10,19,2,2,0.0494,0.0269,0.0191
0.0094,12,24,2,1,0.0251,0.0133,0.033
0.4076,7,16,2,1,0.067,0.1038,0.0455
0.0083,7,20,2,1,0.0297,0.0031,0.0047
0.0099,9,19,1,1,0.0274,0.0147,0.0151
0.016,3,21,2,2,0.0161,0.0511,0.048
0.0064,11,26,2,1,0.0496,0.002,0.0042
0.1382,9,23,3,1,0.1969,0.1189,0.1587
0.1215,6,22,3,1,0.0372,0.0713,0.1101
0.0243,7,15,1,1,0.1066,0.0152,0.0176
0.25,13,23,3,1,0.0597,0.0518,0.0671
0.1215,8,21,2,1,0.0426,0.0582,0.0792
0,12,24,3,2,0.0126,0.0022,0.0023
0.0281,7,15,3,2,0.1055,0.1783,0.1372
0.038,8,24,1,1,0.0202,0.0466,0.0477
0,1,18,1,1,0.0402,0.0069,0.0074
0.08,7,24,1,1,0.0331,0.0103,0.0152
0.2857,8,21,2,2,0.0442,0.0272,0.0067
0.0417,4,18,2,2,0.0373,0.0432,0.0252
0.0193,16,25,2,2,0.0445,0.0267,0.0169
0.0899,10,30,3,1,0.0868,0.0213,0.0409
0.0261,5,15,2,2,0.016,0.1048,0.0841
0.4038,9,34,1,1,0.0644,0.2109,0.2177
0.0645,10,26,2,2,0.0501,0.1006,0.0739
0.0287,15,28,2,2,0.0436,0.0283,0.0163
0.07,8,25,2,1,0.0426,0.025,0.0199
0.0124,10,27,3,2,0.0426,0.051,0.0236
0.0883,8,24,1,1,0.0273,0.0679,0.0721
0.0408,11,26,1,1,0.0558,0.0387,0.0392
0.0274,6,16,1,1,0.0285,0.0807,0.1114
0.0168,7,23,2,1,0.0427,0.0133,0.0168
0.0303,9,20,2,2,0.0426,0.0469,0.0219
0.0064,5,23,2,2,0.0426,0.0215,0.0175
0.0962,10,23,3,2,0.0426,0.0933,0.043
0.2764,5,21,1,1,0.1656,0.0072,0.009
0.0536,8,16,1,1,0.0273,0.0413,0.0486
0.2468,9,23,2,1,0.1946,0.1183,0.1524
0.0245,14,27,2,2,0.0472,0.0433,0.0201
0,7,24,2,1,0.0341,0,0
0.0628,8,21,2,2,0.0426,0.1116,0.0754
0.0364,7,21,2,2,0.0239,0.0492,0.0473
0.0015,7,22,1,1,0.0248,0.0036,0.0039
0.0457,6,26,2,1,0.0284,0.0436,0.0559
0.0813,7,24,2,2,0.0426,0.0368,0.0174
0,8,16,2,2,0.015,4.00E-04,3.00E-04
0.1256,11,25,2,2,0.0243,0.0932,0.1049
0.1393,9,23,2,1,0.1967,0.109,0.1532
0.0315,12,21,2,2,0.0666,0.1447,0.0966
0.0085,3,25,1,1,0.0162,0.0312,0.0017
0.0124,4,20,1,1,0.0359,0.0375,0.0484
0.0541,13,19,2,2,0.0263,0.0469,0.0297
0.0129,12,29,1,1,0.0355,0.1329,0.143
0.0201,8,20,2,1,0.0184,0.0156,0.0195
0.0082,8,16,1,1,0.029,0.0044,0.0053
0.1386,11,29,3,1,0.0565,0.1142,0.1503
0.0157,10,25,3,1,0.0308,0.0208,0.0334
0.0526,8,24,2,1,0.0426,0.0347,0.0533
0.2045,2,19,2,1,0.0474,0.0613,0.0844
0.0071,8,26,1,1,0.0311,0.0038,0.0059
0.0528,10,22,2,2,0.0518,0.041,0.0345
0.0688,7,27,3,3,0.0426,0.1177,0.0512
0.0123,9,19,2,2,0.0273,0.0212,0.0092
0.07,14,28,1,1,0.0409,0.114,0.1142
0.0046,15,24,1,1,0.024,0.0128,0.0161
0.0449,10,23,1,1,0.0426,0.0577,0.0804
0.1229,11,20,1,1,0.0471,0.1147,0.1148
0.1075,12,20,2,1,0.0579,0.0253,0.0551
0.2096,10,24,2,1,0.1064,0.0933,0.1473
0.1553,13,26,2,1,0.0271,0.0388,0.0756
0.0067,11,19,2,1,0.0187,0.0226,0.0299
0.0026,11,22,1,1,0.0496,0.004,0.004
0.0334,5,21,1,1,0.0238,0.0221,0.0259
0.0091,7,25,3,3,0.0718,0.064,0.052
0.0388,9,19,2,2,0.0784,0.1723,0.059
0.0079,11,19,2,2,0.0177,0.0572,0.043
0.0191,13,16,2,1,0.0251,0.022,0.039
0.028,9,20,2,2,0.0138,0.1461,0.042
0.0245,8,24,2,2,0.0426,0.0514,0.0361
0.0848,9,25,1,1,0.0465,0.0753,0.0775
0.0157,9,22,2,2,0.0246,0.0231,0.0091
0.0865,10,21,1,1,0.0495,0.0261,0.0325
0.061,13,31,2,2,0.0431,0.0655,0.0451
0.0071,8,22,2,2,0.0345,0.1006,0.036
0.0203,6,20,2,1,0.0962,0.002,0.005
0.0187,14,27,3,2,0.0138,0.0277,0.0239
0.0081,14,27,3,2,0.0445,0.0177,0.0115
0.2691,8,25,2,1,0.0686,0.0585,0.0949
0,10,21,2,2,0.0078,0.0156,0.0071
0.0667,11,23,2,1,0.0547,0.0231,0.0333
0.025,7,19,2,2,0.0273,0.0504,0.0213
0.0017,8,20,1,1,0.0847,0.001,0.0014
0.0599,1,22,2,1,0.0478,0.0383,0.0543
0.063,6,23,3,2,0.0426,0.0487,0.0384
0.0239,4,13,2,2,0.0284,0.0419,0.0288
0,10,15,2,2,0.0217,0.0153,0.001
0.35,12,21,2,1,0.1741,0.0129,0.1493
0.0348,8,18,3,3,0.0344,0.0694,0.0264
0.0256,7,26,2,2,0.0426,0.0624,0.0489
0,8,23,2,2,0.0486,0.0604,0.0158
0.0265,7,19,3,2,0.0157,0.0528,0.0152
0.0479,11,27,1,1,0.03,0.0596,0.0698
0.0893,7,25,2,1,0.0495,0.0563,0.074
0.049,3,19,1,1,0.038,0.0075,0.0147
0.1221,7,24,2,1,0.0426,0.0396,0.0506
0.1131,11,23,2,1,0.0493,0.0173,0.0208
0.0136,11,23,1,1,0.019,0.0097,0.0114
0.0214,14,28,2,2,0.0436,0.0679,0.0241
0.5946,7,23,1,1,0.1545,0,0
0.3349,3,9,2,1,0.282,0.0369,0.0499
0.0735,4,22,1,1,0.0173,0.0382,0.0523
0.1149,7,20,2,1,0.0164,0.0219,0.0295
0.1631,10,27,2,1,0.0657,0.0898,0.1153
0.0099,9,23,2,1,0.0491,0.0328,0.0461
0.6081,6,25,1,1,0.5036,0.0079,0.0091
0.0444,16,26,1,1,0.1034,0,0
0.2583,8,21,2,1,0.1782,0.0373,0.0496
0.0552,10,28,3,1,0.0303,0.0774,0.0981
0,10,15,2,2,0.0273,0.0082,0.0019
0.0226,9,25,2,2,0.0572,0.2337,0.0284
0.0463,12,30,1,1,0.0276,0.0218,0.0283
0.0137,12,24,2,1,0.025,0.0677,0.1438
0.0238,8,21,3,2,0.0426,0.0381,0.0302
0.0396,8,25,2,2,0.03,0.0572,0.0426
0.0195,8,19,2,1,0.0195,0.0156,0.028
0.0805,11,25,2,2,0.0494,0.0946,0.0537
0.0255,10,12,1,1,0.0196,0.0255,0.0325
0.05,7,22,3,1,0.0285,0.0096,0.0213
0.0339,9,26,2,2,0.1024,0.0797,0.0495
0.0237,8,7,1,1,0.0615,0.0216,0.0258
0,13,26,3,2,0.0234,0.024,0.0111
0.0455,11,29,2,1,0.0573,0.0286,0.0314
0.2322,11,17,2,1,0.054,0.023,0.0392
0.0847,7,22,3,1,0.0229,0.0415,0.052
0.0293,6,25,2,2,0.0239,0.0753,0.058
0.0226,7,22,3,2,0.0193,0.0227,0.0164
0,12,14,2,2,0.0251,0.0607,0.0529
0.0055,4,19,3,3,0.0282,0.0851,0.0076
0.0292,4,7,1,1,0.016,0.0333,0.0451
0.0522,5,21,1,1,0.0385,0.0049,0.007
0.0183,12,20,2,2,0.0454,0.0234,0.016
0.0152,9,19,2,2,0.0343,0.0617,0.0427
0.0957,9,23,2,1,0.0432,0.063,0.0747
0.1215,6,20,1,1,0.0897,0.0042,0.005
0.0168,6,22,2,2,0.0284,0.03,0.0183
0.048,6,22,1,1,0.1838,0.0039,0.0062
0.0312,3,13,1,1,0.016,0.0195,0.0292
0.0172,10,20,2,2,0.0345,0.0528,0.0352
0.2071,6,25,1,1,0.0598,0.1264,0.1264
0.1556,10,15,2,1,0.0626,0.0209,0.0164
0.217,13,23,2,1,0.0538,0.1069,0.164
0.0109,12,24,2,1,0.0192,0.0319,0.042
0.0181,5,18,1,1,0.0238,0.0075,0.009
0.0082,8,24,2,2,0.0427,0.014,0.007
0.0724,4,7,2,1,0.0159,0.0912,0.0968
0.0231,11,17,2,1,0.0096,0.0434,0.0587
0,14,25,1,1,0.0146,0.0179,0.0275
0.0563,7,19,2,2,0.0273,0.0251,0.0143
0.0152,7,28,3,3,0.0344,0.1274,0.1119
0.0259,8,20,2,2,0.0553,0.2691,0.0435
0.3069,14,19,2,1,0.0439,0.0537,0.1148
0.0556,12,28,2,1,0.0495,0.0225,0.0264
0.0435,8,21,2,1,0.0454,0.0333,0.0451
0.0096,11,19,2,2,0.0494,0.0267,0.02
0.0044,12,25,2,2,0.0379,0.0304,0.0161
0.0105,12,25,3,2,0.0957,0.0643,0.0702
0.0266,6,23,2,2,0.0369,0.0537,0.0351
0,9,23,2,2,0.0085,0.0047,0.0027
0.0247,8,8,1,1,0.0223,0.0189,0.0224
0.036,9,26,2,1,0.1048,0.0237,0.0297
0,8,20,2,2,0.0401,0.0273,0.0106
0.0729,6,23,1,1,0.0426,0.0637,0.102
0.0719,12,25,3,2,0.1098,0.037,0.0307
0.0245,7,26,2,2,0.0114,0.0264,0.0213
0.0084,10,25,2,2,0.0257,0.0709,0.0521
0.0335,12,24,2,1,0.0191,0.0207,0.0245
0.0891,12,27,2,2,0.0174,0.0322,0.0452
0.084,14,28,2,1,0.0428,0.0123,0.0395
0.0137,8,20,2,2,0.0195,0.0276,0.0094
0,3,19,3,2,0.0161,0.0235,0.0172
0.0883,14,25,2,1,0.1123,0.0434,0.0568
0.0233,5,22,2,2,0.0367,0.0749,0.0333
0.1829,5,21,1,1,0.1713,0.0027,0.0046
0.0599,8,24,2,1,0.0426,0.0465,0.0709
0,9,21,2,2,0.0378,0.0275,0.0161
0.1741,13,28,1,1,0.0819,0.0086,0.0095
0.1597,7,21,2,1,0.0473,0.1303,0.178
0.0275,6,14,3,3,0.0273,0.0536,0.0093
0.0771,13,27,1,1,0.0818,0.0044,0
0.0095,9,22,2,1,0.0796,0.0188,0.0379
0.0779,7,25,2,1,0.0239,0.0257,0.0354
0,13,28,2,2,0.0113,0.0109,0.0021
0.1321,7,15,2,1,0.0273,0.0929,0.1323
0.0517,6,14,1,1,0.0273,0.0342,0.0348
0.0513,8,24,1,1,0.0273,0.0152,0.0167
0.0417,6,16,1,1,0.0273,0.0192,0.0205
0.0093,4,21,2,2,0.0385,0.0376,0.0034
0.089,10,12,1,1,0.0279,0.026,0.0309
0.0442,6,21,2,1,0.0427,0.0145,0.0207
0,6,14,1,1,0.0274,0,0
0.0362,10,15,2,2,0.0045,0.0298,0.0204
0.0632,8,16,1,1,0.0535,0.0416,0.0639
0.014,11,30,2,2,0.0389,0.1887,0.038
0.0524,13,34,2,1,0.0286,0.0238,0.0362
0.2213,9,23,2,1,0.1938,0.1162,0.146
0.1161,12,25,3,1,0.0919,0.0888,0.1209
0,6,14,3,3,0.0273,0.0086,0.0045
0.0206,8,30,2,2,0.0573,0.0231,0.0143
0.0281,12,25,1,1,0.0297,0.0028,0.0018
0,9,18,2,2,0.0345,0.013,0.0085
0.3762,14,24,1,1,0.0719,0,0
0.2313,13,31,2,1,0.0567,0.0435,0.0631
0.0099,13,18,2,2,0.0547,0.0455,0.0384
0.1079,6,14,1,1,0.0273,0.0424,0.0483
0.1371,9,23,2,1,0.1952,0.1156,0.1483
0.1014,10,27,2,1,0.0426,0.0649,0.0942
0.0065,10,22,1,1,0.0211,0.0121,0.0152
0.0092,9,18,1,1,0.0051,0.0085,0.0098
0.0603,8,19,2,1,0.0399,0.0535,0.077
0.0039,8,23,3,3,0.0094,0.0175,0.005
0.0301,8,26,1,1,0.0426,0.0131,0.0167
0.0855,7,21,2,1,0.0557,0.1072,0.1851
0,6,18,2,2,0.0068,0.0288,0.0103
0.0188,8,24,1,1,0.0159,0.0046,0.0066
0.0136,7,23,1,1,0.0322,0.017,0.0202
0.0082,5,15,3,1,0.016,0.0803,0.1206
0.0273,3,25,2,1,0.0159,0.0415,0.0719
0.082,3,12,1,1,0.0284,0.0717,0.082
0,10,19,2,1,0.006,0.0139,0.0222
0.0301,4,7,2,1,0.016,0.0584,0.0852
0.0123,9,25,2,2,0.0365,0.0463,0.0348
0.0748,12,26,2,2,0.0426,0.111,0.0935
0.0361,12,24,1,1,0.0191,0.0473,0.0511
0.037,9,21,3,1,0.0375,0.0371,0.0442
0.0189,5,15,2,1,0.0284,0.0118,0.0129
0.0485,7,20,2,2,0.0516,0.0441,0.0353
0.0129,5,21,1,1,0.0384,0.0814,0.0834
0.0935,9,20,2,1,0.0422,0.084,0.119
0.0607,5,21,2,2,0.0367,0.0549,0.0389
0.093,10,17,1,1,0.0598,0.0468,0.0516
0.1034,13,22,2,1,0.0525,0.1955,0.2181
0.1494,9,23,2,1,0.1955,0.1164,0.1561
0.0335,6,21,2,2,0.0426,0.0397,0.0222
0.0971,7,24,1,1,0.0273,0.0386,0.0419
0.0303,7,25,1,1,0.0521,0.0309,0.0408
0.0153,7,21,2,2,0.0265,0.025,0.0169
0.0183,5,14,1,1,0.0284,0.0251,0.0251
0.0328,7,25,1,1,0.024,0.012,0.0239
0.0725,10,23,2,2,0.0426,0.1054,0.0499
0.0349,3,11,2,1,0.0611,0.016,0.0249
0.103,8,21,3,1,0.0426,0.0443,0.0585
0.0717,11,23,3,2,0.0336,0.1416,0.0946
0.0132,4,18,1,1,0.0345,0.0079,0.0089
0.0619,10,25,1,1,0.0434,0.0893,0.0896
0.0769,11,25,2,2,0.0493,0.127,0.0905
0.0338,14,24,1,1,0.0547,0.0325,0.0196
0.0057,8,24,2,1,0.0285,0.019,0.0297
0.006,8,20,2,1,0.0554,0.0011,0.0015
0.0217,7,23,1,1,0.0426,0.0129,0.0133
0.0725,5,14,2,1,0.0284,0.0196,0.0232
0.1165,9,20,3,1,0.0908,0.138,0.1885
0.0367,10,27,3,3,0.0303,0.0378,0.0287
0.0088,10,20,3,3,0.0196,0.018,0.0036
0.2321,11,21,2,1,0.0842,0.1221,0.1665
0.0317,4,7,2,1,0.016,0.0612,0.1008
0.131,5,22,2,1,0.0362,0.0642,0.1003
0.0261,8,21,2,1,0.0454,0.0232,0.031
0.0357,12,13,2,2,0.0223,0.043,0.0409
0.0052,14,25,2,2,0.0453,0.022,0.0023
0,7,17,3,1,0.0623,0.029,0.041
0.0146,4,19,2,1,0.0606,0.0505,0.0706
0,9,25,3,3,0.0249,0,0
0.0822,12,26,1,1,0.084,0.058,0.058
0.1156,2,22,2,2,0.1323,0.0574,0.0116
0,11,29,1,1,0.0211,0.0166,0.0188
0,3,21,2,2,0.016,0.132,0.0581
0.0396,10,22,2,1,0.0513,0.1606,0.1984
0.1053,11,25,2,1,0.0493,0.1097,0.1365
0.014,13,23,2,2,0.0285,0.081,0.037
0.108,9,19,1,1,0.0974,0.0864,0.0961
0.0465,3,19,1,1,0.0398,0.0108,0
0,8,30,2,1,0.0572,0.0225,0.035
0.1675,9,21,2,1,0.0425,0.0186,0.038
0.0538,6,20,1,1,0.0927,0.0021,0.0041
0.0234,9,22,3,2,0.0472,0.0516,0.0434
0.0097,13,28,1,1,0.0265,0.022,0.0412
0.0404,7,15,1,1,0.0273,0.0682,0.081
0.0997,14,25,1,1,0.0474,0.033,0.0338
0.0955,4,14,1,1,0.0273,0.0391,0.04
0.0259,12,20,1,1,0.0585,0.0544,0.0549
0.055,13,15,2,1,0.0486,0.017,0.0213
0.0756,12,26,2,1,0.0501,0.0391,0.0518
0,13,25,1,1,0.044,0.0096,0.0118
0.082,14,25,3,1,0.0542,0.055,0.0823
0.1641,8,23,3,1,0.1426,0.0643,0.0951
0.0861,9,23,3,1,0.1418,0.0585,0.0989
0.0149,13,29,3,3,0.0394,0.0537,0.022
0.0088,8,21,3,1,0.019,0.0073,0.0157
0.0453,8,24,1,1,0.0426,0.0619,0.0702
0.0169,7,21,2,1,0.0174,0.0251,0.0347
0.0486,7,23,2,1,0.0136,0.0971,0.1482
0.0091,9,22,1,1,0.0553,0.0333,0.044
0.0627,4,13,2,1,0.0284,0.0546,0.0595
0.1202,6,24,2,1,0.0426,0.0868,0.1151
0.0061,10,20,2,1,0.0552,0.02,0.0282
0.0828,9,23,1,1,0.0336,0.0886,0.1535
0.4418,5,25,1,1,0.5194,0.0022,0
0.0811,16,25,1,1,0.0437,0.0353,0.0586
0.1271,3,22,1,1,0.0158,0.1623,0.2688
0.0556,12,27,3,3,0.0338,0.0389,0.0192
0.0364,9,22,2,1,0.0285,0.0174,0.0247
0.0167,5,15,1,1,0.0285,0.0123,0.0124
0.0322,15,28,1,1,0.0436,0.0195,0.021
0.5119,7,23,2,1,0.1046,0.095,0.1372
0.1099,14,22,1,1,0.0443,0,0
0.072,13,31,2,2,0.0572,0.0588,0.025
0.0125,8,21,1,1,0.0427,0.0051,0.0057
0.0522,10,22,3,1,0.0216,0.0389,0.059
0.038,10,23,2,1,0.0494,0.0137,0.0328
0.0085,6,20,2,1,0.0202,0.0043,0.0046
0.0901,6,21,2,1,0.0239,0.063,0.086
0.0087,9,31,3,1,0.0397,0.0105,0.0253
0.0216,7,21,2,2,0.0161,0.0161,0.0093
0.0096,3,19,1,1,0.0407,0,0
0.0159,8,16,2,2,0.0273,0.0084,0.0041
0.0462,5,14,1,1,0.0284,0.0109,0.0116
0.0414,12,26,2,2,0.0494,0.1194,0.0336
0.0884,11,19,2,1,0.0528,0.0659,0.0901
0.1116,9,22,1,1,0.0453,0.0843,0.101
0.058,6,22,2,1,0.0211,0.0489,0.0674
0.0395,7,20,2,1,0.0268,0.0254,0.0374
0.0057,7,25,1,1,0.024,0.0231,0.0265
0.0068,7,23,2,2,0.0239,0.0124,0.001
0.0429,9,22,2,1,0.0284,0.014,0.0219
0.12,10,20,3,1,0.0284,0.0481,0.0782
0.0552,9,21,3,3,0.0882,0.1466,0.019
0.0137,7,22,1,1,0.0098,0.0056,0.0067
0.165,9,23,2,1,0.1945,0.1224,0.1631
0.0162,9,30,1,1,0.0878,0.0086,0.0091
0.0069,11,29,2,2,0.0211,0.1554,0.0186
0.0588,11,22,2,2,0.0493,0.096,0.0448
0.0794,7,15,2,1,0.0273,0.0611,0.0843
0.0408,9,17,1,1,0.0284,0.0278,0.04
0.0849,1,23,2,1,0.0478,0.0501,0.0645
0.0057,11,26,1,1,0.0323,0.0193,0.0383
0.0345,6,21,3,2,0.0426,0.0439,0.0378
0.0426,4,13,2,1,0.0284,0.0399,0.0612
0.0402,8,22,2,1,0.0188,0.0146,0.0242
0.0131,14,23,2,2,0.0284,0.1346,0
0.2183,11,22,2,1,0.0493,0.0648,0.0824
